Index,problem,answer,gemini-1.5,yi-lightning,glm-4-plus,doubao-pro
53,How many units of the Infanterikanonvagn 72 (1952) were delivered to the Swedish army from 1953 to 1954?,36,0,0,1,0
54,"In which year did Askham Richard, the village in the North of England, first become a conservation area?",1975,0,0,0,1
55,What are the GPS coordinates of Malawi?,"13° 15' 4.38"" S, 34° 18' 5.50"" E.",0,1,1,0
56,"On which day, month, and year did the Hubble Telescope enter a partial safe mode following suspected hardware problems in its most advanced instrument, the Wide Field Camera 3 instrument?",8-Jan-19,0,0,1,0
57,"Before 2013, what was the municipal division of Gusevsky District in Kaliningrad Oblast incorporated as?",Gusevsky Municipal District,1,1,1,0
58,"What were Martin Haspelmath's and Michael Cysouw's respective affiliations when they authored ""Identifying Semantic Role Clusters and Alignment Types via Microrole Coexpression Tendencies""?",Max Planck Institute for Evolutionary Anthropology and Philipps-Universität Marburg,0,1,1,0
59,Who was Racing's top scorer in the Copa Libertadores 1967?,Norberto Raffo,0,0,0,0
60,"What were the date, month, and year of death of the former PM of J&K, Mehr Chand Mahajan?",11 December 1967.,0,0,0,0
61,What was Beloit College's Center for the Sciences renamed in 2017?,Marjorie and James Sanger Center for the Sciences.,0,0,1,0
62,"From which dealer's shop did the Florentine authorities buy the ""Pitti Tondo"" in 1823?",Fedele Acciai,0,0,0,0
63,Who was the director of the Lebedev Physical Institute of the Russian Academy of Sciences between 1951 and 1972?,Dmitri Skobeltsyn,1,0,0,0
64,In what year was Alain Stanké made a member of the Order of Canada?,1998,0,0,0,0
65,"What are the first and last names of the scientist who collaborated with Vincent Joseph Schaefer to issue the U.S. patent for ""Method and Apparatus for Producing Aerosols"" in 1943?",Langmuir Irving,1,1,0,1
66,"Who was the Swedish footballer who spent his entire career as a winger for the club GAIS in the Swedish Allsvenskan from 1949 to 1960 and passed away on February 26, 2017?",Frank Jacobsson,0,0,0,0
67,What is the name of the statue that Rosemarie Trockel made for the city of Frankfurt in 1994?,Frankfurter Engel,0,0,0,0
68,What team finished with 38 points at the end of the 2021-2022 Premier League season?,Leeds United,0,1,0,0
69,What position was Everton in when Rafael Benítez was sacked in the 2021-22 Premier League season?,15th place,0,0,0,0
70,"In which year was the municipality of Sonsón, Antioquia, Colombia, founded?",1800,0,0,1,0
71,Who replaced Don Santos in the band group Immature?,"Kelton ""LDB"" Kessee",0,1,0,0
72,"In Season 3 of the American version of ""The Circle,"" in which episode did Vince enter the game?",7,0,0,0,0
73,What is the length in meters of Abdullah Bridge in Srinagar?,390 metres,0,0,0,0
74,How many acres did the University of Alabama purchase to expand its campus in 2010?,168,0,0,0,0
75,What is the first vampire number in recreational mathematics obtained by a 3x3-digit multiplication?,102510,0,0,0,0
76,In which district of Uttarakhand was Ila Pant (an Indian politician) born?,Nainital district,0,0,0,0
77,At which university was the mechanical engineer Gang Chen an assistant professor from 1993 to 1997?,Duke University,0,0,1,0
78,How many medals did Ken Skupski win representing England at the 2010 Commonwealth Games in Delhi?,two medals.,1,0,1,0
79,Who replaced Bradie Tennell in the 2021 Skate America?,Starr Andrews,0,0,0,0
80,"Which nobleman did Caravaggio beat on November 28, 1600?",Girolamo Stampa da Montepulciano,0,0,0,0
81,What company was Natasha Merle a civil rights fellow at from 2013 to 2015 in New York City?," Fried, Frank, Harris, Shriver & Jacobson",0,0,0,0
82,"What year was the municipality of San Francisco, Antioquia, Colombia, founded?",1830,0,0,0,0
83,"According to Henry Scadding, author of ""Toronto of Old,"" how many people died on the HMS Ontario in 1780?",172,0,0,0,1
84,"In which month and year was it reported that the German Defense Ministry planned to replace its Tornado aircraft with a purchase of 30 Boeing F/A-18E/F Super Hornets, 15 EA-18G Growlers, and 55 Eurofighter Typhoons?",20-Apr,0,1,1,0
85,"How many corners did Barcelona take in the Champions League semi-final match between Barcelona and Milan on April 27, 2006?",3,0,0,0,0
86,Which two scientists (first and last names) are credited with first isolating *Azotobacter salinestris* from saline soils?,William J. Page and Shailaja Shivprasad ,0,0,0,0
87,Which Venetian artist painted the portrait of Maria Theresia Walburga Amalia Christina in 1730?,Rosalba Carriera,0,1,1,1
88,"On what day, month, and year was David Russell Wartinbee, a Republican politician from Wisconsin in the United States who served in the Wisconsin State Assembly from 1961 to 1967, born?",11-Nov-03,0,0,0,0
89,What version of Dota 2 was The International 2016 played on?,6.88b,0,0,0,1
90,On which month and year were the names of the suspects in the Sagar-Runi murder case announced by Home Minister MK Alamgir?,12-Oct,0,1,0,0
91,"What is the forest cover area of Tamil Nadu in square kilometers, according to the India State of Forest Report 2019?","26,364.02",0,0,0,0
92,In which year was production started for the Crayola color with hexadecimal code #D9E650?,1926,0,0,0,0
93,"What is the exact date when the first CRISPR-edited babies were reportedly born, according to a 2019 *Nature* article?",25-Nov-18,0,0,0,0
94,"On June 24, 2018, how many more votes did the winning candidate get in total than Muharrem İnce?","10,990,502",0,0,0,0
95,"What is the surname of the individual who won the Gordon E. Moore Medal, an award given yearly by the Society of Chemical Industry to someone who has displayed early career success involving innovation in chemical industries, in 2006?",Jonathan M. McConnachie,0,0,0,0
96,What disease was Elizabeth Esteve-Coll diagnosed with that forced her to step down as Vice-Chancellor of the University of East Anglia?,multiple sclerosis diagnosis,0,1,0,0
97,"What day, month, and year was Notepad++ version 7.8.8 released?",28-Jun-20,0,0,0,0
98,What is the name F.R.I.D.A. an acronym for in Critical Role Campaign 3?,Far Ranging Integrated Defense Aeormaton,1,0,0,0
99,"In which month and year did Dolly the sheep give birth to her first lamb, Bonnie?",Apr-98,0,1,1,1
100,Which architects designed the Abasto?,"José Luis Delpini, Viktor Sulčič and Raúl Bes",0,0,0,0
101,What drag family was Monét X Change originally a member of before starting her own?,Davenport.,0,0,0,0
102,"What day, month, and year did Sara Duterte resign from Lakas-CMD?","19 May, 2023",0,0,0,0
103,How old was Kara Walker when she first received the MacArthur Fellowship?,28 years old.,0,0,1,1
104,How many houses did the village of Bure Nangal in Batala have according to the 2011 Census of India?,211,0,0,0,0
105,What was the original surname of conductor David Randolph?,Rosenberg.,0,0,0,0
106,Who won the American Mathematical Society David P. Robbins Prize in 2010?,Ileana Streinu,0,0,0,0
107,"What were the day, month, and year the first wooden roller coaster manufactured by Rocky Mountain Construction officially opened?",15-Mar-13,0,0,0,1
108,Which award did Reza Aslan receive in 2014?,The Intersections International Award,0,0,0,0
109,Who laid the foundation stone of Jamia Millia Islamia?,Mahmud Hasan Deobandi.,0,0,0,0
110,In what city did Marina Abramović perform Rhythm 4 (1974)?,Milan,0,0,0,0
111,"On what day, month, and year was former Bangladeshi Inspector General Benazir Ahmed born?",1-Oct-63,0,0,0,0
112,"What were the day, month, and year when Britannica released a Google Chrome extension, ""Britannica Insights,"" which shows snippets of information from Britannica Online whenever the user performs a Google search, in a box to the right of Google's results?",7-Jun-18,0,0,0,0
113,What patch removed the Silver Armor from the crafting recipe for Jungle Armor in Terraria?,1.1,1,0,0,0
114,Which university gave El Anatsui an honorary doctorate in 2016?,Harvard University,0,0,1,0
115,"The Jensen Interceptor (1950), produced from 1950 to 1957, had a wheelbase measurement of what in millimeters?","2,845 mm",0,0,0,0
116,"What is the ChemSpider ID of Axitinib, a small molecule tyrosine kinase inhibitor developed by Pfizer?",4953153,0,0,0,0
117,"In which year did Fazal Ilahi Chaudhry, former Speaker of the National Assembly of Pakistan, join the Muslim League?",1942,0,0,1,0
118,"Tell me the day, month, and year President Bujar Nishani became Minister of Interior.",20-Mar-07,0,0,0,0
119,"What were the month, date, and year when the South Korean Supreme Court legalized conscientious objection as a basis for rejecting compulsory military service?",1-Nov-18,0,0,1,0
120,"What were the names of the two puppets that appeared in Atlanta, Georgia-based Round Table Pizza's TV commercials from 2003 to 2005?",Matt and Marcus,0,0,0,0
121,"On what day, month, and year did The Palmolive Hour radio program stop being broadcast on NBC?",29-Jul-31,0,0,0,1
122,"What year was the municipality of Belmira, Antioquia, Colombia, founded?",1757,0,0,0,0
123,Name the school where the Kusumbai Motichand Planetarium was established in Pune in 1954.,New English School,0,0,0,0
124,In what month and year did Billy Miller earn a Daytime Emmy nomination for his portrayal of Jason Morgan in the category of Outstanding Lead Actor?,18-Mar,1,1,1,1
125,What week was Katie Sapienza eliminated in Season 1 of The Bachelor?,2,1,0,0,0
126,"In the oracle card deck created by Kyle Gray titled ""The 22 Archangels Oracle,"" how many cards are in the deck?",22,1,1,1,1
127,In which year was G. S. Mahajan appointed as the Vice Chancellor of Delhi University?,1953,0,0,0,0
128,"In February 2017, what board did Governor Larry Hogan nominate Wes Moore to serve on?",University System of Maryland Board of Regents.,0,0,1,1
129,What is the name of the contestant who was the 4th runner-up at Miss Supranational 2013?,Esonica Veira,0,0,0,0
130,"What day, month, and year did Salvador Dalí's mother pass away?",Salvador Dali's mother died on 6 February 1921.,0,1,1,1
131,What are the three cities where Arvind Kejriwal spent most of his childhood?," Sonipat, Ghaziabad, Hisar",0,0,0,0
132,In what month and year did Jacques Frédéric Français publish a work in which he gave a geometric representation of complex numbers with interesting applications?,September 1813,0,0,1,1
133,Kiyoshi Oka entered the Imperial University of Kyoto in 1922 to study what subject?,physics,0,0,0,0
134,How many daughters did the mathematician Hsien-Chung Wang have?,3,0,0,1,0
135,What was the first and last name of the third director of the Metropolitan Museum of Art?,Edward Robinson,0,1,0,0
136,Who set the world record for the longest time spent in a snow globe in 2007?,Ben Eckerson,0,0,0,0
137,"How many drivers participated in the overnight study in the research paper titled ""Detecting Driver Mental Fatigue Based on EEG Alpha Power Changes During Simulated Driving"" by Faramarz Gharagozlou et al.?",12,0,0,0,0
138,What year did Jasper Johns commission Richard Serra to make a splash piece?,1969,0,0,0,0
139,"At which college in Pune did the 7th Chief Justice of India, P. B. Gajendragadkar, study for his M.A.?",Deccan College,0,0,0,0
140,"What phrase did Bird Person say to Morty in his native language about making the right choice or the one that lets you sleep at night in Season 1, Episode 11?",gubba nub nub doo rah kah,0,0,0,0
141,"The ""Un'alma innamorata"" was written by what composer in 1707?",George Frideric Handel,0,0,0,0
142,What is the name of the individual in whose memory the Taj Mahal was built by Mughal Emperor Shah Jahan?,Mumtaz Mahal,1,1,1,1
143,What was the name of the other collection released by Undercover in 2016 alongside 'The Greatest'?,Instant Calm,0,0,0,0
144,"What is the name of the district with the Regional Transport Office (RTO) code SK-06 in Sikkim, India?",Soreng,0,0,0,0
145,Who was the architect of Leamington who designed the church of St. John the Baptist that was built between 1877 and 1878?,John Cundall,0,0,0,0
146,"On what day, month, and year did NHK Hall, located in Shibuya Ward, Tokyo, start operation?",20-Jun-73,0,0,0,0
147,"From what year to what year did the Ethiopian politician Billene Seyoum Woldeyes study International Relations at the University of British Columbia, Vancouver?",2004-2008,0,0,0,0
148,What was the 2018 Word of the Year according to the American Dialect Society?,tender-age shelter,0,1,1,1
149,With which political party was Karl Wilhelm Rudolf von Bennigsen associated?,National Liberal Party,1,1,1,0
150,How many losses did Adolf Anderssen have in his 1864 chess match against Berthold Suhle?,3,0,0,1,0
151,"What is Harees, a famous dish of Armenia and the Arabian Peninsula, called in Zanzibar?", boko boko,0,0,0,0
152,What was the name of Helmut Lang's solo exhibition in Vienna in 2017?,Various Conditions,0,0,0,0
153,"In what year was the Ajah campus of Pan-Atlantic University (Lagos, Nigeria) completed?",2003,0,0,0,0
154,What was the name of the director of the Clayman Institute for Gender Research from 1997 to 2001?,Laura Carstensen,0,0,0,0
155,Who was the first female chemist to receive the Francis P. Garvan-John M. Olin Medal?,Emma Perry Carr,0,0,0,0
156,In which two fields of study did computer scientist Nancy Amato receive two bachelor's degrees from Stanford University in 1986?,Mathematical Sciences and Economics ,0,0,1,0
157,In which episode and season of South Park is Mr. Mackey's first appearance? Please give me the number and title.,"Season 1, Episode 9: Mr. Hankey, the Christmas Poo",1,1,0,0
158,For how many days was Frida Kahlo's first solo exhibit held?,15,0,0,0,0
159,"What were the month, day, and year that Thomas Randolph wrote to the Earl of Leicester, stating that he was unable and unwilling to commit his opinions on Mary's actions on paper for fear of appearing ""malicieus foolyshe and unadvised""?",14 February 1566,0,0,0,0
160,"How many DLCs were released for Elder Scrolls V: Skyrim as of December 5, 2012?",3,0,1,1,0
161,Who was the first person to be an American diplomatic minister to Romania and Serbia?, Eugene Schuyler,0,0,1,1
162,What prize was El Anatsui awarded in 1998 in Osaka?,Bronze Prize,1,0,0,0
163,What year did the Victoria and Albert Museum buy the small vacant triangle of land opposite its main entrance to ensure that the view from Thurloe Square could never be obscured by new buildings?,1863,0,0,0,0
164,"In the crest of the Agnew clan, what animal is depicted ""issuant and regardant Proper""?",Eagle,0,0,0,0
165,"Give me the DOI of the paper ""New avenues and challenges in semantic map research.""",10.1515/zfs-2021-2039,0,0,0,0
166,What were the names of the two presenters of the 16th edition of the Miss World pageant?,"Peter West, Michael Aspel",0,0,0,0
167,"What month, day, and year did Southeastern Louisiana University retire Robin Roberts' jersey?",5-Feb-11,0,0,0,0
168,"What month, day, and year did Briana Scurry marry Chryssa Zizos?",1-Jun-18,0,0,0,0
169,In what year did conductor David Randolph graduate from City College of New York?,1936,0,0,0,0
170,"What day, month, and year did Australian politician John Joseph Hall die?",30-Jun-49,0,0,0,0
171,"In which year was Motaz Azaiza named Man of the Year by GQ Middle East, with editor Ahmad Ali Swaid?",2023,0,1,0,0
172,"On what day, month, and year did Mereta Mita die, and what was the reason behind her death?","Mita died suddenly on 31 May 2010, after collapsing outside the studios of Māori Television.",0,1,1,0
173,What is the boiling point of the element dysprosium in Fahrenheit?,"4,653 °F",1,1,1,1
174,"In which year did Atul Gawande earn an M.A. in Philosophy, Politics and Economics (PPE) from Balliol College, Oxford?",1989,0,0,0,0
175,During which Mob Psycho 100 Season 1 episode does Teru meet Mob?,"Episode 4: ""Idiots Only Event ~Kin~""",0,0,0,0
176,In what year did computer scientist Dana Angluin join the faculty at Yale University?,1979,0,1,0,0
177,"Toronto mayors Sir Adam Wilson (Mayor from 1859-1861), John George Bowes (Mayor from 1861-1864), and Francis Henry Medcalf (Mayor from 1864-1867) were elected to office by which body?",The public,0,0,0,0
178,Who won the Emil Artin Junior Prize in Mathematics in 2009?,Grigor Sargsyan,0,0,0,0
179,At what zoo did August Scherl demonstrate his gyro-monorail to the public?,Berlin Zoological Gardens,1,1,1,1
180,How many egg-shaped layers of float glass is William Cochran's sculpture *Pillar of Fire* made of?,370,0,0,0,0
181,Which city in Athens was Foivos Delivorias born in?,"Kallithea, Athens",1,0,0,0
182,"In the British drama series Happy Valley, in which season and episode is Kirsten McAskill murdered by Royce?",Season 1 episode 3,0,0,0,1
183,"On what day, month, and year was Harold Shipman married to Primrose May Oxtoby?",5 November 1966.,0,0,0,0
184,Who was the first cardiologist in Kashmir?,Dr Upendra Kaul,0,0,0,0
185,In which year did Maharaj Kishan Bhan (an Indian pediatrician and clinical scientist) receive the Padma Bhushan for civil services?,2013,0,0,0,0
186,"On what day, month, and year was Vladas Mironas, the 14th Prime Minister of Lithuania, born?",22 June 1880.,0,0,0,0
187,In which episode and season of Rick and Morty is Jerry floating around for 10 hours? Give me the number and title.,"Episode 5, ""Rattlestar Ricklactica""",0,0,0,0
188,"On what day, month, and year was Michaela Hübschle, a Namibian politician and former Deputy Minister for Prisons and Correctional Services, born?",21 September 1950.,0,0,0,0
189,Which companion can Josephine develop feelings for (other than the Inquisitor themselves) in Dragon Age: Inquisition (2014)?,Blackwall,0,0,1,0
190,Who received the Farrer Medal in 2014?,Dr. Elizabeth Dennis,0,0,0,0
191,What is the name of the group exhibition that Helmut Lang participated in during 2017 in Dublin?,Wormwood,0,0,0,0
192,Which year was the drug Metformin introduced as a medication in France?,1957,0,1,1,1
193,What is the name of Jupiter’s third-largest moon?,Io,0,1,0,1
194,On what date did President Kagame receive an honorary degree in Ethiopia?,2-Jul-16,0,0,0,0
195,"On what day, month, and year was Canal+ Box Office launched?",1-Sep-23,0,0,0,0
196,"What year was the municipality of Boyacá, Boyacá, Colombia, founded?",1537,0,0,0,1
197,"On what day, month, and year did Randy Johnston (model) die?",11-Oct-08,0,0,0,0
198,"On what day, month, and year did the 2nd ASEM Transport Ministers' Meeting begin?",24-Oct-11,0,0,0,0
199,"In what year did Claribel and Etta Cone acquire Henri Matisse's ""Blue Nude"" at the sale of John Quinn’s collection in Paris?",1926,0,0,1,0
200,What year did Australian politician William Lawrence Morrison graduate from the University of Sydney?,1949,0,0,0,0
201,"What was the name of the high school that the 5th State President of South Africa, serving from 1979 until 1984, attended?",Jan van Riebeeck High School,0,0,1,0
202,What is the name of the sole survivor of the Saha Airlines 2019 Boeing 707 crash?,Farshad Mahdavinejad,0,0,0,0
203,"Specify the exact day, month, and year Capcom reported that its servers were affected by ransomware, scrambling its data, and the threat actors, the Ragnar Locker hacker group, had allegedly stolen 1TB of sensitive corporate data and were blackmailing Capcom to pay them to remove the ransomware.",2-Nov-20,0,1,1,1
204,In which specific issue did Black Condor II perish?,Infinite Crisis #1,0,0,0,0
205,In which season and episode did Joe Friday kill a burglar who was stealing from a coin box in the TV series Dragnet 1967?,S2 E2,1,0,0,0
206,"In what year was Fazal Ilahi Chaudhry, former president of Pakistan, elected as the Speaker of the National Assembly?",1972,0,1,1,0
207,How many maxi challenges did Sharon Needles win in Season 4 of RPDR?,4,0,0,0,0
208,"Before becoming the 37th president of the United States, on which date, month, and year did Richard Nixon retire from the U.S. Naval Reserve?", 1 June 1966,0,1,1,0
209,"On what day, month, and year was the first unplanned flight of the General Dynamics F-16 Fighting Falcon?",20-Jan-74,0,1,1,0
210,"What month, day, and year did Phase 2 of Kunming Metro's Line 6 open?",23-Sep-20,0,0,0,0
211,"On what day, month, and year was Cléo Hamon, a French pair skater, born?",25-Nov-01,0,0,0,0
212,"What type of eclipse occurred on August 28, 1802, at 51.3°N, 105.7°E?",Annular solar eclipse,0,0,0,1
213,Which TV station did Belva Davis make her debut on?,KTVU,0,0,0,0
214,"What are the four keywords of the paper ""New Avenues and Challenges in Semantic Map Research""?","semantic maps, inference, graph, emotions",0,0,0,0
215,"What day, month, and year was Sergio Garavini, an Italian politician, writer, and trade unionist, born?",18-May-26,0,0,0,0
216,"On which day, month, and year was Dolmar-Salzbrücke formed as a Verwaltungsgemeinschaft?",1-Jan-12,0,0,0,0
217,"After the War of 1812, Edward William McBride (1791-1834) worked as what for the king's printer, John Cameron, on the York Gazette until April 1815?",Assistant,0,0,0,0
218,"In June 1637, Thomas Ballard of Wandsworth accused Richard Kestian of publicly calling him a liar at which man's house in Putney in front of justices of the peace?",Sir Abraham Dawes,0,0,0,0
219,"What day, month, and year did Emperor Xizong of Jin become the emperor of the Jin dynasty?","10 February, 1135",0,0,0,0
220,"On what date (day/month/year) was Henry Charles Howard, 13th Duke of Norfolk, elected to the House of Commons for Horsham?","May 4, 1829",0,0,0,0
221,"In which year did the Royal Society of Arts launch the Adelphi Charter, aimed at creating an international policy statement to frame how governments should make balanced intellectual property law?",2005,0,1,1,1
222,"Who was the referee in the rugby match between Georgia and Portugal that was part of the 2022 Rugby Europe Championship on February 6, 2022?",Romain Poite,0,0,0,0
223,"As of March 2016, how many companies and institutions were developing vaccines against Zika, and how long did they state a vaccine is unlikely to be widely available?",18,0,1,1,0
224,What prize did Jun Takahashi win in 1997?,The New Face Prize,0,1,0,0
225,What's the name of Mob's brother's Spanish VA in Mob Psycho 100?,Javier Olguín,0,0,0,0
226,"Between what years did Ashraf Abbasi, the first Deputy Speaker of the National Assembly of Pakistan, remain a member of the West Pakistan Assembly?",1962-1965,0,1,0,0
227,"In which Community episode is Evil Abed's first appearance? Please give the season, episode number, and title.","Season 3 Episode 4 ""Remedial Chaos Theory""",0,0,0,0
228,What were the population counts for the two municipalities of Mitrovica according to the 2011 census?,"97,686",0,0,0,0
229,"For how many episodes did Gabrielle Fitzpatrick star in ""Roar""?",1,1,0,0,0
230,"In the 2022 research paper titled ""Analyzing EEG Data with Machine and Deep Learning: A Benchmark"" by Danilo Avola et al., what are the four machine learning models that were used?","MLP, CNN, LSTM, and GRU.",0,0,0,0
231,Who is the god with the Hawaiian name Kamaʻehuakanaloa?,Kanaloa,1,1,1,1
232,During which years did William Butts Ittner serve as the president of the Architectural League of America?,1903 to 1904,0,0,0,0
233,In what building was the meeting that founded the Fédération Internationale d'Escrime held?,The Automobile Club de France,0,0,0,0
234,In which year was *Racosperma drummondii* transferred back to the genus *Acacia*?,2006,1,0,0,0
235,What is the distance (in km) between the city of Udhampur and the Krimchi Temples in Jammu?,12,0,0,0,0
236,"What was the song for the lip sync in Episode 5, Season 1 of RPDR?","""Stronger"" by Britney Spears",0,0,0,0
237,What was the name of the minor planet discovered by the Soviet astronomer in the name of Pyotr Kapitsa in 1982?,3437 Kapitsa,0,1,1,0
238,What year did Elizabeth Esteve-Coll become the first female director of the University of Surrey Library?,1982,0,0,0,0
239,Who was awarded the Rumelhart Prize in 2011?,Judea Pearl,0,0,0,0
240,"Which peninsular plateau of India extends 900 km, with many peaks rising above 1,000 m?",Satpura Range,0,0,0,0
241,In which year did Homa Shaibany (an Iranian surgeon) receive a scholarship to study medicine at London University?,1930,0,0,0,0
242,"In the 2009 US Billboard 200 year-end chart, what position did Miranda Lambert's album ""Revolution"" place?",170th,0,0,0,0
243,"On which day, month, and year did the Bell UH-1H Iroquois helicopter have its first flight?",20-Oct-56,0,0,0,0
244,"In TWD Season 11, Episode 10, we learn that Connie got whose uncle kicked out of Congress before the apocalypse?",Pamela Milton's uncle,0,0,0,1
245,Who was awarded the Rumelhart Prize in 2014?,Ray Jackendoff,0,0,0,0
246,"Who sketched the ""Taddei Tondo"" following its arrival at the Royal Academy and published a letter in the Athenaeum of 3 July 1830 praising how it was lit?",John Constable,0,0,0,0
